Species	Sex	Wingcrd	Tarsus	Head	Culmen	Nalospi	Wt	Observer	Age
SSTS	Male	60	21.3	31.5	13.3	9.4	20.3	7	0
SSTS	Male	57	21	31.8	13.4	9.4	19.5	7	0
SSTS	Male	60	22.4	33	13.2	9.4	21.2	7	0
SSTS	Female	54.5	21	31.1	12.8	9.3	17.5	7	0
SSTS	Male	58	21.6	31.2	13.2	9.3	19.8	7	0
SSTS	Male	59.5	21.6	31.2	13	9.3	20.3	7	0
SSTS	Male	58	21.6	31.5	12.6	9.3	19.2	7	1
SSTS	Female	56	20.9	31.5	13.2	9.3	20.4	7	0
SSTS	Male	57.5	21.8	31.6	12.8	9.3	19.9	7	0
SSTS	Male	58	22.4	31.8	12.4	9.3	20.3	7	0
SSTS	Female	55	21.4	31.8	12.9	9.3	17.5	7	0
SSTS	Female	55.5	21.3	31.8	13.5	9.3	18.7	7	0
SSTS	Male	60	21	32	13.7	9.3	20.2	7	0
SSTS	Male	59.5	21.5	32.1	13.1	9.3	20.5	7	0
SSTS	Female	54.5	20.8	32.2	12.7	9.3	19.2	7	0
SSTS	Female	54.5	21.8	31.5	13	9.2	16.5	7	0
SSTS	Male	60	21.8	31.6	13.1	9.2	19.2	7	0
SSTS	Male	59	20.7	31.6	12.8	9.2	20.4	7	0
SSTS	Male	58	20.4	32	13.2	9.2	19.3	7	0
SSTS	Male	58.5	22.3	32.4	13.5	9.2	20.8	7	0
SSTS	Male	57.5	22.1	31	13.8	9.1	21	7	0
SSTS	Male	60	21.5	31.2	12.2	9.1	19	7	0
SSTS	Female	56	21.2	31.2	13.5	9.1	18.5	7	0
SSTS	Male	59	21.1	31.5	13.5	9.1	20.5	7	0
SSTS	Male	61	21.9	31.7	13.3	9.1	19.8	7	0
SSTS	Male	56	21.9	31.8	13.1	9.1	20.6	7	0
SSTS	Female	53.5	21.2	31.8	12.8	9.1	18.8	7	0
SSTS	Male	59	21.8	31.9	13	9.1	21.7	7	0
SSTS	Male	58	22.8	32	12.5	9.1	20	7	0
SSTS	Male	59	22.1	31.2	13.5	9	19.2	7	1
SSTS	Male	58	21.6	31.5	12.9	9	19.8	7	0
SSTS	Male	61	20.6	31.6	12.9	9	19.8	7	0
SESP	Male	66	24.1	35.2	15.8	11.7	23.8	7	0
SESP	Male	62.5	24.2	34.5	14.9	11.1	23.2	7	0
SESP	Male	60.5	23.5	34.5	15.7	11	21.4	7	0
SESP	Male	61.5	25	34.7	15.7	10.2	22.6	7	0
SSTS	Male	57.5	21.6	33.1	14	10.2	20.7	8	0
SSTS	Male	57	21.8	32.6	12.8	10	21	8	0
SSTS	Female	53	20.5	31.5	13	9.9	17.4	8	0
SSTS	Male	59.5	22.1	32.1	13	9.8	21.7	8	0
SSTS	Male	59.5	21.8	32.1	13.3	9.8	22.4	8	0
SSTS	Male	58	20.9	32.5	13.5	9.8	20.2	8	0
SSTS	Male	59.5	22.5	32.6	14.1	9.8	21.4	8	0
SSTS	Male	59.5	21.6	32.6	13.1	9.8	20.3	8	0
SSTS	Male	59	21.6	31.9	12.8	9.7	19.6	8	0
SSTS	Female	55.5	21.8	32.1	12.6	9.7	21.3	8	0
SSTS	Male	59	21.5	32.2	13.1	9.7	20.6	8	0
SSTS	Male	59	21.8	32.8	11.8	9.7	21.2	8	0
SSTS	Female	54	21.1	31.3	13.5	9.6	15.8	8	0
SSTS	Female	56.5	21.9	31.6	13.4	9.6	17.1	8	0
SSTS	Male	58	21.6	31.6	12.8	9.6	25.5	8	0
SSTS	Female	54.5	20.5	31.6	13	9.6	18.4	8	0
SSTS	Male	57	21.1	32.3	13.8	9.6	18.2	8	0
SSTS	Male	60	22	32.7	12.3	9.6	20.6	8	0
SSTS	Male	57	22	33	13.7	9.6	23	8	0
SSTS	Female	55.5	20.6	30.3	12.5	9.5	21	8	0
SSTS	Female	54.5	20.1	31	11.7	9.5	20.5	8	0
SSTS	Male	54.5	21.2	31.5	12.6	9.5	18.8	8	0
SSTS	Male	57.5	21.5	31.7	13.5	9.5	19.7	8	0
SSTS	Male	57.5	21.5	31.8	13.3	9.5	20	8	0
SSTS	Male	58.5	21.9	32	13	9.5	20.2	8	0
SSTS	Male	59	21.4	32	11.6	9.5	22	8	0
SSTS	Male	57	21.6	32.1	13	9.5	18	8	0
SSTS	Male	59	21.1	32.1	12.2	9.5	19.2	8	1
SSTS	Female	54.5	20.8	32.1	13	9.5	16.6	8	0
SSTS	Male	59	22	32.2	12.1	9.5	20.5	8	0
SSTS	Male	58	21.3	32.2	12.5	9.5	21.9	8	0
SSTS	Male	56	22	32.3	13.1	9.5	19.3	8	1
SSTS	Male	59.5	21.5	32.3	12.3	9.5	21	8	0
SSTS	Male	57	21.4	32.4	13	9.5	20.7	8	0
SSTS	Female	56	21.2	33	13.5	9.5	20.7	8	0
SSTS	Female	52.5	18.9	29.2	12	9.4	16.3	8	0
SSTS	Male	58.5	20.7	31.3	11.8	9.4	19	8	1
SSTS	Female	56	19.7	31.4	11.8	9.4	20.5	8	0
SSTS	Female	55	20.8	31.9	13.6	9.4	19.1	8	0
SSTS	Male	59	20.5	31.9	13.1	9.4	19.9	8	0
SSTS	Male	58.5	21	32	12.5	9.4	20.4	8	0
SSTS	Male	58.5	21.5	32.2	12.5	9.4	20.3	8	0
SSTS	Male	59	21.2	32.2	12.8	9.4	20.6	8	0
SSTS	Male	58	21.2	32.3	11.4	9.4	19.5	8	0
SSTS	Male	59.5	21	32.3	13.4	9.4	20.9	8	0
SSTS	Male	59.5	22.2	32.5	13	9.4	21.9	8	0
SSTS	Male	59	20.8	32.5	13	9.4	21.3	8	0
SSTS	Male	58.5	22.7	32.8	12.8	9.4	22.1	8	0
SSTS	Male	59	21.2	32.8	11.8	9.4	19.7	8	0
SSTS	Male	60	22.8	31.7	12.3	9.3	22.2	8	0
SSTS	Male	60.5	21	31.8	13	9.3	20.6	8	0
SSTS	Female	54.5	20.9	31.8	13.2	9.3	19.7	8	0
SSTS	Male	57.5	22.1	32.2	13.2	9.3	19.9	8	0
SSTS	Male	59.5	21.9	32.3	12.9	9.3	20	8	0
SSTS	Male	57.5	21.6	32.3	13.3	9.3	21	8	0
SSTS	Female	56	21	31	13	9.2	19.2	8	0
SSTS	Female	55	20.3	31.4	12.5	9.2	17.9	8	0
SSTS	Male	58	20.6	31.7	12.8	9.2	20.4	8	0
SSTS	Female	56.5	20.5	31.7	12.9	9.2	18	8	0
SSTS	Female	55.5	20.3	31.7	13.4	9.2	19.4	8	0
SSTS	Male	59.5	20.6	31.9	13.3	9.2	20.9	8	0
SSTS	Male	58.5	21.7	32.3	13	9.2	22.1	8	0
SSTS	Male	58	20.9	30.9	12.2	9.1	20.1	8	0
SSTS	Male	58.5	21.5	31.2	12.6	9.1	20	8	1
SSTS	Female	56	20.4	31.2	11.7	9.1	19.9	8	0
SSTS	Male	57	21.7	31.3	10.8	9.1	19	8	1
SSTS	Female	56	20.6	31.4	12.3	9.1	19	8	0
SSTS	Female	55	20.5	31.4	12.8	9.1	19.5	8	0
SSTS	Male	59.5	21.7	31.5	12.5	9.1	21.2	8	0
SSTS	Male	57.5	20.8	31.5	13.4	9.1	19.6	8	0
SSTS	Male	59	20.9	31.6	10.8	9.1	21	8	0
SSTS	Male	58	21.2	31.7	13.2	9.1	19.2	8	0
SSTS	Male	58.5	21.4	31.8	13.1	9.1	20.6	8	0
SSTS	Female	53	20.5	32.1	12.2	9.1	17.2	8	0
SSTS	Male	59	20.1	32.4	11.4	9.1	21.3	8	0
SSTS	Female	55	19.5	30.5	12	9	18.9	8	0
SSTS	Male	60.5	21.8	31.1	12.3	9	21.6	8	0
SSTS	Female	55	20.6	31.3	12.1	9	21.5	8	0
SSTS	Male	57	22.4	31.8	12.5	9	19.2	8	0
SSTS	Male	56	21.6	31.8	12.6	9	19.7	8	0
SSTS	Male	56	21.1	32	11.7	9	18.9	8	0
SSTS	Male	59.5	20.5	32	13	9	20.6	8	0
SSTS	Female	55	20	30.7	12.7	8.9	16.6	8	0
SSTS	Male	59	21.7	31.3	12.7	8.9	19.9	8	0
SSTS	Female	53.5	20.8	31.3	13	8.9	17.8	8	0
SSTS	Male	56	20.5	31.3	12.5	8.9	19.7	8	0
SSTS	Male	58	21.2	31.6	13	8.9	19.6	8	0
SSTS	Female	56	20.3	31.6	13	8.9	17.5	8	0
SSTS	Male	58	21.5	31.8	12.7	8.9	20.5	8	0
SSTS	Female	56	21.3	31.8	13	8.9	19.9	8	0
SSTS	Male	59	21.3	32	12	8.9	21.2	8	0
SSTS	Male	59	20.3	32.3	11.4	8.9	19.7	8	0
SSTS	Female	55.5	21.1	31	12.4	8.8	17	8	0
SSTS	Male	58	20.7	31.7	12	8.8	19	8	1
SSTS	Female	54	21.4	31.9	11.1	8.8	20.9	8	0
SSTS	Male	59	20.9	31.9	11.2	8.8	20.5	8	0
SSTS	Female	56.5	20	30	12.8	8.6	17.9	8	0
SSTS	Male	55.5	20.2	31.1	12	8.6	21.6	8	0
SESP	Male	62	22.6	34.6	15.5	11.5	22.6	8	0
SESP	Male	63	24.3	34.5	14.5	11.3	24.1	8	0
SESP	Male	62.5	24	34.9	15.5	11.3	24.5	8	0
SESP	Female	58	22.4	33.9	14.6	11.1	21	8	0
SESP	Male	60	25	35.2	15.7	11.1	24.9	8	0
SESP	Female	56.5	22.8	33.5	14.9	11	20.2	8	0
SESP	Female	58	22.6	34	14.6	10.9	23.6	8	0
SESP	Female	60	23	34.2	14.8	10.9	25.4	8	0
SESP	Male	62	23.8	33.3	14.4	10.8	23	8	0
SESP	Female	58.5	23.1	33	13.7	10.3	21	8	0
SESP	Female	59.5	23.4	33.5	14.3	10.3	24.8	8	0
